timestamp,temperature, humidity, token
2025-11-18 15:15:07,25.6,,ITv4aK2F78
2025-11-18 15:15:08,,23.0,ITv4aK2F78
2025-11-18 15:15:39,25.9,,ITv4aK2F78
2025-11-18 15:15:39,,21.0,ITv4aK2F78
2025-11-18 15:16:37,25.9,,ITv4aK2F78
2025-11-18 15:16:38,,21.0,ITv4aK2F78
2025-11-18 15:17:37,25.8,,ITv4aK2F78
2025-11-18 15:17:37,,20.0,ITv4aK2F78
2025-11-18 15:18:37,25.7,,ITv4aK2F78
2025-11-18 15:18:37,,21.0,ITv4aK2F78
2025-11-18 15:19:37,25.7,,ITv4aK2F78
2025-11-18 15:19:37,,21.0,ITv4aK2F78
2025-11-18 15:20:37,25.7,,ITv4aK2F78
2025-11-18 15:20:38,,21.0,ITv4aK2F78
2025-11-18 15:21:37,25.7,,ITv4aK2F78
2025-11-18 15:21:38,,21.0,ITv4aK2F78
2025-11-18 15:22:37,25.8,,ITv4aK2F78
2025-11-18 15:22:38,,21.0,ITv4aK2F78
2025-11-18 15:23:37,25.8,,ITv4aK2F78
2025-11-18 15:23:38,,20.0,ITv4aK2F78
2025-11-18 15:24:37,25.8,,ITv4aK2F78
2025-11-18 15:24:38,,20.0,ITv4aK2F78
2025-11-18 15:25:37,25.8,,ITv4aK2F78
2025-11-18 15:25:38,,21.0,ITv4aK2F78
2025-11-18 15:26:37,25.8,,ITv4aK2F78
2025-11-18 15:26:37,,21.0,ITv4aK2F78
2025-11-18 15:27:37,25.8,,ITv4aK2F78
2025-11-18 15:27:37,,21.0,ITv4aK2F78
2025-11-18 15:28:38,25.9,,ITv4aK2F78
2025-11-18 15:28:39,,21.0,ITv4aK2F78
2025-11-18 15:29:28,26.0,,ITv4aK2F78
2025-11-18 15:29:29,,21.0,ITv4aK2F78
2025-11-18 15:30:09,26.1,,ITv4aK2F78
2025-11-18 15:30:09,,21.0,ITv4aK2F78
2025-11-18 15:31:08,26.2,,ITv4aK2F78
2025-11-18 15:31:08,,21.0,ITv4aK2F78
2025-11-18 15:32:07,26.3,,ITv4aK2F78
2025-11-18 15:32:08,,21.0,ITv4aK2F78
2025-11-18 15:33:07,26.2,,ITv4aK2F78
2025-11-18 15:33:08,,21.0,ITv4aK2F78
2025-11-18 15:34:08,26.3,,ITv4aK2F78
2025-11-18 15:34:08,,21.0,ITv4aK2F78
2025-11-18 15:35:08,26.3,,ITv4aK2F78
2025-11-18 15:35:08,,21.0,ITv4aK2F78
2025-11-18 15:36:08,26.4,,ITv4aK2F78
2025-11-18 15:36:08,,21.0,ITv4aK2F78
2025-11-18 15:37:08,26.3,,ITv4aK2F78
2025-11-18 15:37:08,,21.0,ITv4aK2F78
2025-11-18 15:38:07,26.4,,ITv4aK2F78
2025-11-18 15:38:08,,21.0,ITv4aK2F78
2025-11-18 15:39:07,26.4,,ITv4aK2F78
2025-11-18 15:39:08,,21.0,ITv4aK2F78
2025-11-18 15:40:08,26.5,,ITv4aK2F78
2025-11-18 15:40:09,,21.0,ITv4aK2F78
2025-11-18 15:41:07,26.5,,ITv4aK2F78
2025-11-18 15:41:08,,20.0,ITv4aK2F78
2025-11-18 15:42:08,26.6,,ITv4aK2F78
2025-11-18 15:42:08,,20.0,ITv4aK2F78
2025-11-18 15:43:08,26.5,,ITv4aK2F78
2025-11-18 15:43:08,,20.0,ITv4aK2F78
2025-11-18 15:44:08,26.5,,ITv4aK2F78
2025-11-18 15:44:08,,21.0,ITv4aK2F78
2025-11-18 15:45:07,26.6,,ITv4aK2F78
2025-11-18 15:45:08,,20.0,ITv4aK2F78
2025-11-18 15:46:07,26.5,,ITv4aK2F78
2025-11-18 15:46:08,,20.0,ITv4aK2F78
2025-11-18 15:47:08,26.4,,ITv4aK2F78
2025-11-18 15:47:08,,21.0,ITv4aK2F78
2025-11-18 15:47:27,26.4,,ITv4aK2F78
2025-11-18 15:47:28,,21.0,ITv4aK2F78
2025-11-18 15:48:26,26.5,,ITv4aK2F78
2025-11-18 15:48:26,,20.0,ITv4aK2F78
2025-11-18 15:49:26,26.4,,ITv4aK2F78
2025-11-18 15:49:26,,21.0,ITv4aK2F78
2025-11-18 15:50:26,26.6,,ITv4aK2F78
2025-11-18 15:50:26,,20.0,ITv4aK2F78
2025-11-18 15:51:26,26.4,,ITv4aK2F78
2025-11-18 15:51:26,,21.0,ITv4aK2F78
2025-11-18 15:52:26,26.5,,ITv4aK2F78
2025-11-18 15:52:26,,20.0,ITv4aK2F78
2025-11-18 15:53:26,26.6,,ITv4aK2F78
2025-11-18 15:53:26,,20.0,ITv4aK2F78
2025-11-18 15:54:26,26.6,,ITv4aK2F78
2025-11-18 15:54:26,,20.0,ITv4aK2F78
2025-11-18 15:55:26,26.6,,ITv4aK2F78
2025-11-18 15:55:26,,20.0,ITv4aK2F78
2025-11-18 15:56:26,26.6,,ITv4aK2F78
2025-11-18 15:56:26,,20.0,ITv4aK2F78
2025-11-18 15:57:26,26.7,,ITv4aK2F78
2025-11-18 15:57:26,,20.0,ITv4aK2F78
2025-11-18 15:58:26,26.8,,ITv4aK2F78
2025-11-18 15:58:26,,20.0,ITv4aK2F78
2025-11-18 15:59:26,26.9,,ITv4aK2F78
2025-11-18 15:59:26,,20.0,ITv4aK2F78
2025-11-18 16:00:26,26.9,,ITv4aK2F78
2025-11-18 16:00:26,,20.0,ITv4aK2F78
2025-11-18 16:01:26,26.9,,ITv4aK2F78
2025-11-18 16:01:26,,20.0,ITv4aK2F78
2025-11-18 16:02:26,26.8,,ITv4aK2F78
2025-11-18 16:02:26,,20.0,ITv4aK2F78
2025-11-18 16:03:26,26.9,,ITv4aK2F78
2025-11-18 16:03:26,,20.0,ITv4aK2F78
2025-11-18 16:04:26,26.8,,ITv4aK2F78
2025-11-18 16:04:26,,20.0,ITv4aK2F78
2025-11-18 16:05:26,26.7,,ITv4aK2F78
2025-11-18 16:05:26,,20.0,ITv4aK2F78
2025-11-18 16:06:26,26.8,,ITv4aK2F78
2025-11-18 16:06:26,,20.0,ITv4aK2F78
2025-11-18 16:07:26,26.8,,ITv4aK2F78
2025-11-18 16:07:26,,20.0,ITv4aK2F78
2025-11-18 16:08:26,26.8,,ITv4aK2F78
2025-11-18 16:08:26,,21.0,ITv4aK2F78
2025-11-18 16:09:26,26.8,,ITv4aK2F78
